Ad ID,Category,Price,Currency,Price per m2,Floor Number,Room Count,Area,Location,Excerpt,Last Updated,State of Repair,Link
5234640,Yeni tikili,430 000,AZN,4 260 AZN/m²,2 / 7,2,101 m²,Ağ şəhər q.,yoxdur,"13.06.2025, 14:32",yoxdur,https://bina.az/items/5234640
5143519,Köhnə tikili,148 000,AZN,1 850 AZN/m²,6 / 9,3,80 m²,Əhmədli q.,var,"13.06.2025, 14:31",var,https://bina.az/items/5143519
5086917,Yeni tikili,1 085 000,AZN,3 350 AZN/m²,19 / 20,5,324 m²,Ağ şəhər q.,yoxdur,"13.06.2025, 14:30",yoxdur,https://bina.az/items/5086917
5217209,Köhnə tikili,153 000,AZN,2 730 AZN/m²,2 / 5,2,56 m²,Nəsimi r.,var,"13.06.2025, 14:30",var,https://bina.az/items/5217209
5139235,Yeni tikili,182 000,AZN,2 140 AZN/m²,5 / 15,3,85 m²,Həzi Aslanov q.,var,"13.06.2025, 14:30",var,https://bina.az/items/5139235
5010870,Yeni tikili,155 000,AZN,2 920 AZN/m²,14 / 19,2,53 m²,20 Yanvar m.,var,"13.06.2025, 14:30",var,https://bina.az/items/5010870
5276833,Yeni tikili,350 000,AZN,1 170 AZN/m²,5 / 5,6,300 m²,Bayıl q.,var,"13.06.2025, 14:29",var,https://bina.az/items/5276833
5139868,Yeni tikili,265 000,AZN,2 410 AZN/m²,2 / 3,3,110 m²,Nəsimi r.,var,"13.06.2025, 14:29",var,https://bina.az/items/5139868
3825580,Yeni tikili,280 000,AZN,2 430 AZN/m²,5 / 8,3,115 m²,8 Noyabr m.,var,"13.06.2025, 14:29",yoxdur,https://bina.az/items/3825580
5276746,Köhnə tikili,143 000,AZN,3 490 AZN/m²,1 / 3,1,41 m²,Nəsimi r.,var,"13.06.2025, 15:45",var,https://bina.az/items/5276746
5029564,Yeni tikili,288 000,AZN,2 820 AZN/m²,9 / 17,3,102 m²,Elmlər Akademiyası m.,yoxdur,"13.06.2025, 14:28",var,https://bina.az/items/5029564
5045057,Yeni tikili,225 000,AZN,2 500 AZN/m²,14 / 18,2,90 m²,Qara Qarayev m.,var,"13.06.2025, 14:28",var,https://bina.az/items/5045057
5197581,Yeni tikili,161 000,AZN,2 310 AZN/m²,9 / 12,1,69.8 m²,Qara Qarayev m.,yoxdur,"13.06.2025, 14:28",yoxdur,https://bina.az/items/5197581
5198006,Yeni tikili,175 000,AZN,3 270 AZN/m²,6 / 12,2,53.5 m²,Qara Qarayev m.,yoxdur,"13.06.2025, 14:28",var,https://bina.az/items/5198006
5276830,Yeni tikili,236 000,AZN,2 340 AZN/m²,11 / 19,3,101 m²,Nəriman Nərimanov m.,var,"13.06.2025, 14:27",var,https://bina.az/items/5276830
5271879,Köhnə tikili,86 500,AZN,1 920 AZN/m²,4 / 9,1,45 m²,Köhnə Günəşli q.,var,"13.06.2025, 14:27",var,https://bina.az/items/5271879
5144522,Yeni tikili,149 400,AZN,2 130 AZN/m²,2 / 11,2,70 m²,İnşaatçılar m.,var,"13.06.2025, 14:27",var,https://bina.az/items/5144522
4626459,Yeni tikili,345 000,AZN,2 160 AZN/m²,15 / 20,3,160 m²,8 Noyabr m.,var,"13.06.2025, 14:27",var,https://bina.az/items/4626459
5208093,Yeni tikili,495 000,AZN,2 250 AZN/m²,16 / 18,4,220 m²,Nəriman Nərimanov m.,var,"13.06.2025, 12:03",var,https://bina.az/items/5208093
5276823,Yeni tikili,193 000,AZN,3 490 AZN/m²,5 / 7,1,55.3 m²,Nardaran q.,yoxdur,"13.06.2025, 14:26",yoxdur,https://bina.az/items/5276823
5200776,Yeni tikili,196 000,AZN,1 430 AZN/m²,12 / 13,3,137.5 m²,Həzi Aslanov m.,yoxdur,"13.06.2025, 14:26",yoxdur,https://bina.az/items/5200776
5276806,Köhnə tikili,145 000,AZN,1 930 AZN/m²,4 / 5,3,75 m²,Binəqədi r.,yoxdur,"13.06.2025, 14:39",var,https://bina.az/items/5276806
5276820,Yeni tikili,270 000,AZN,4 150 AZN/m²,15 / 20,2,65 m²,Elmlər Akademiyası m.,var,"13.06.2025, 14:26",var,https://bina.az/items/5276820
